timestamp_ms,datetime,value,sensor
1766602702000,2025-12-24 20:58:22.000000,24.66,sensor:temperature
1766602709000,2025-12-24 20:58:29.000000,24.66,sensor:temperature
1766602714000,2025-12-24 20:58:34.000000,24.68,sensor:temperature
1766602721000,2025-12-24 20:58:41.000000,24.69,sensor:temperature
1766602727000,2025-12-24 20:58:47.000000,24.7,sensor:temperature
1766602733000,2025-12-24 20:58:53.000000,24.72,sensor:temperature
1766602739000,2025-12-24 20:58:59.000000,24.71,sensor:temperature
1766602745000,2025-12-24 20:59:05.000000,24.71,sensor:temperature
1766602751000,2025-12-24 20:59:11.000000,24.71,sensor:temperature
1766602758000,2025-12-24 20:59:18.000000,24.7,sensor:temperature
1766602765000,2025-12-24 20:59:25.000000,24.72,sensor:temperature
1766602771000,2025-12-24 20:59:31.000000,24.74,sensor:temperature
1766602778000,2025-12-24 20:59:38.000000,24.75,sensor:temperature
1766602785000,2025-12-24 20:59:45.000000,24.74,sensor:temperature
1766602791000,2025-12-24 20:59:51.000000,24.76,sensor:temperature
1766602797000,2025-12-24 20:59:57.000000,24.76,sensor:temperature
1766602803000,2025-12-24 21:00:03.000000,24.74,sensor:temperature
1766602810000,2025-12-24 21:00:10.000000,24.73,sensor:temperature
1766602817000,2025-12-24 21:00:17.000000,24.74,sensor:temperature
1766602824000,2025-12-24 21:00:24.000000,24.75,sensor:temperature
1766602831000,2025-12-24 21:00:31.000000,24.76,sensor:temperature
1766602837000,2025-12-24 21:00:37.000000,24.77,sensor:temperature
1766602854000,2025-12-24 21:00:54.000000,24.83,sensor:temperature
1766602861000,2025-12-24 21:01:01.000000,24.84,sensor:temperature
1766602876000,2025-12-24 21:01:16.000000,24.82,sensor:temperature
1766602884000,2025-12-24 21:01:24.000000,24.82,sensor:temperature
1766602890000,2025-12-24 21:01:30.000000,24.83,sensor:temperature
1766602897000,2025-12-24 21:01:37.000000,24.84,sensor:temperature
1766602903000,2025-12-24 21:01:43.000000,24.84,sensor:temperature
1766602910000,2025-12-24 21:01:50.000000,24.87,sensor:temperature
1766602917000,2025-12-24 21:01:57.000000,24.89,sensor:temperature
1766602923000,2025-12-24 21:02:03.000000,24.89,sensor:temperature
1766602930000,2025-12-24 21:02:10.000000,24.88,sensor:temperature
1766602937000,2025-12-24 21:02:17.000000,24.88,sensor:temperature
1766602944000,2025-12-24 21:02:24.000000,24.87,sensor:temperature
1766602952000,2025-12-24 21:02:32.000000,24.84,sensor:temperature
1766602958000,2025-12-24 21:02:38.000000,24.82,sensor:temperature
1766602965000,2025-12-24 21:02:45.000000,24.79,sensor:temperature
1766602972000,2025-12-24 21:02:52.000000,24.77,sensor:temperature
1766602978000,2025-12-24 21:02:58.000000,24.75,sensor:temperature
1766602985000,2025-12-24 21:03:05.000000,24.74,sensor:temperature
1766602992000,2025-12-24 21:03:12.000000,24.74,sensor:temperature
1766602999000,2025-12-24 21:03:19.000000,24.76,sensor:temperature
1766603005000,2025-12-24 21:03:25.000000,24.76,sensor:temperature
1766603011000,2025-12-24 21:03:31.000000,24.76,sensor:temperature
1766603018000,2025-12-24 21:03:38.000000,24.76,sensor:temperature
1766603024000,2025-12-24 21:03:44.000000,24.76,sensor:temperature
1766603031000,2025-12-24 21:03:51.000000,24.78,sensor:temperature
1766603037000,2025-12-24 21:03:57.000000,24.75,sensor:temperature
1766603044000,2025-12-24 21:04:04.000000,24.76,sensor:temperature
1766603050000,2025-12-24 21:04:10.000000,24.75,sensor:temperature
1766603056000,2025-12-24 21:04:16.000000,24.76,sensor:temperature
1766603062000,2025-12-24 21:04:22.000000,24.76,sensor:temperature
1766603068000,2025-12-24 21:04:28.000000,24.75,sensor:temperature
1766603074000,2025-12-24 21:04:34.000000,24.73,sensor:temperature
1766603081000,2025-12-24 21:04:41.000000,24.72,sensor:temperature
1766603087000,2025-12-24 21:04:47.000000,24.74,sensor:temperature
1766603094000,2025-12-24 21:04:54.000000,24.75,sensor:temperature
1766603100000,2025-12-24 21:05:00.000000,24.74,sensor:temperature
1766603107000,2025-12-24 21:05:07.000000,24.74,sensor:temperature
1766603112000,2025-12-24 21:05:12.000000,24.73,sensor:temperature
1766603119000,2025-12-24 21:05:19.000000,24.71,sensor:temperature
1766603125000,2025-12-24 21:05:25.000000,24.71,sensor:temperature
1766603132000,2025-12-24 21:05:32.000000,24.7,sensor:temperature
1766603139000,2025-12-24 21:05:39.000000,24.7,sensor:temperature
1766603146000,2025-12-24 21:05:46.000000,24.69,sensor:temperature
1766603153000,2025-12-24 21:05:53.000000,24.68,sensor:temperature
1766603160000,2025-12-24 21:06:00.000000,24.68,sensor:temperature
1766603167000,2025-12-24 21:06:07.000000,24.68,sensor:temperature
1766603174000,2025-12-24 21:06:14.000000,24.69,sensor:temperature
1766603181000,2025-12-24 21:06:21.000000,24.68,sensor:temperature
1766603188000,2025-12-24 21:06:28.000000,24.65,sensor:temperature
1766603194000,2025-12-24 21:06:34.000000,24.65,sensor:temperature
1766603201000,2025-12-24 21:06:41.000000,24.68,sensor:temperature
1766603208000,2025-12-24 21:06:48.000000,24.66,sensor:temperature
1766603214000,2025-12-24 21:06:54.000000,24.65,sensor:temperature
1766603221000,2025-12-24 21:07:01.000000,24.65,sensor:temperature
1766603228000,2025-12-24 21:07:08.000000,24.63,sensor:temperature
1766603234000,2025-12-24 21:07:14.000000,24.62,sensor:temperature
1766603240000,2025-12-24 21:07:20.000000,24.61,sensor:temperature
1766603246000,2025-12-24 21:07:26.000000,24.61,sensor:temperature
1766603253000,2025-12-24 21:07:33.000000,24.6,sensor:temperature
1766603260000,2025-12-24 21:07:40.000000,24.6,sensor:temperature
1766603267000,2025-12-24 21:07:47.000000,24.59,sensor:temperature
1766603274000,2025-12-24 21:07:54.000000,24.57,sensor:temperature
1766603280000,2025-12-24 21:08:00.000000,24.6,sensor:temperature
1766603287000,2025-12-24 21:08:07.000000,24.58,sensor:temperature
1766603294000,2025-12-24 21:08:14.000000,24.59,sensor:temperature
1766603300000,2025-12-24 21:08:20.000000,24.57,sensor:temperature
1766603307000,2025-12-24 21:08:27.000000,24.57,sensor:temperature
1766603314000,2025-12-24 21:08:34.000000,24.57,sensor:temperature
1766603320000,2025-12-24 21:08:40.000000,24.58,sensor:temperature
1766603326000,2025-12-24 21:08:46.000000,24.59,sensor:temperature
1766603333000,2025-12-24 21:08:53.000000,24.61,sensor:temperature
1766603339000,2025-12-24 21:08:59.000000,24.63,sensor:temperature
1766603346000,2025-12-24 21:09:06.000000,24.62,sensor:temperature
1766603353000,2025-12-24 21:09:13.000000,24.63,sensor:temperature
1766603359000,2025-12-24 21:09:19.000000,24.62,sensor:temperature
1766603365000,2025-12-24 21:09:25.000000,24.63,sensor:temperature
1766603372000,2025-12-24 21:09:32.000000,24.64,sensor:temperature
1766603379000,2025-12-24 21:09:39.000000,24.63,sensor:temperature
1766603386000,2025-12-24 21:09:46.000000,24.62,sensor:temperature
1766603393000,2025-12-24 21:09:53.000000,24.62,sensor:temperature
1766603399000,2025-12-24 21:09:59.000000,24.6,sensor:temperature
1766603407000,2025-12-24 21:10:07.000000,24.61,sensor:temperature
1766603413000,2025-12-24 21:10:13.000000,24.61,sensor:temperature
1766603420000,2025-12-24 21:10:20.000000,24.6,sensor:temperature
1766603427000,2025-12-24 21:10:27.000000,24.64,sensor:temperature
1766603434000,2025-12-24 21:10:34.000000,24.64,sensor:temperature
1766603440000,2025-12-24 21:10:40.000000,24.65,sensor:temperature
1766603446000,2025-12-24 21:10:46.000000,24.66,sensor:temperature
1766603453000,2025-12-24 21:10:53.000000,24.68,sensor:temperature
1766603460000,2025-12-24 21:11:00.000000,24.69,sensor:temperature
1766603466000,2025-12-24 21:11:06.000000,24.69,sensor:temperature
1766603473000,2025-12-24 21:11:13.000000,24.7,sensor:temperature
1766603479000,2025-12-24 21:11:19.000000,24.68,sensor:temperature
1766603485000,2025-12-24 21:11:25.000000,24.68,sensor:temperature
1766603491000,2025-12-24 21:11:31.000000,24.7,sensor:temperature
1766603497000,2025-12-24 21:11:37.000000,24.7,sensor:temperature
1766603506000,2025-12-24 21:11:46.000000,24.7,sensor:temperature
1766603512000,2025-12-24 21:11:52.000000,24.7,sensor:temperature
1766603519000,2025-12-24 21:11:59.000000,24.69,sensor:temperature
1766603526000,2025-12-24 21:12:06.000000,24.66,sensor:temperature
1766603536000,2025-12-24 21:12:16.000000,24.68,sensor:temperature
1766603541000,2025-12-24 21:12:21.000000,24.68,sensor:temperature
1766603548000,2025-12-24 21:12:28.000000,24.65,sensor:temperature
1766603554000,2025-12-24 21:12:34.000000,24.65,sensor:temperature
1766603560000,2025-12-24 21:12:40.000000,24.62,sensor:temperature
1766603567000,2025-12-24 21:12:47.000000,24.61,sensor:temperature
1766603573000,2025-12-24 21:12:53.000000,24.61,sensor:temperature
1766603580000,2025-12-24 21:13:00.000000,24.62,sensor:temperature
1766603587000,2025-12-24 21:13:07.000000,24.62,sensor:temperature
1766603594000,2025-12-24 21:13:14.000000,24.62,sensor:temperature
1766603600000,2025-12-24 21:13:20.000000,24.62,sensor:temperature
1766603608000,2025-12-24 21:13:28.000000,24.64,sensor:temperature
1766603616000,2025-12-24 21:13:36.000000,24.64,sensor:temperature
1766603622000,2025-12-24 21:13:42.000000,24.63,sensor:temperature
1766603629000,2025-12-24 21:13:49.000000,24.63,sensor:temperature
1766603636000,2025-12-24 21:13:56.000000,24.6,sensor:temperature
